employer_id,city_id,contract_id,start_date,end_date,renewed_flag,job_slots,total_contract_value,applications,apply_start_clicks,click_marketplace_value,job_listings
1353893,5517,2782944,2/20/2018,3/20/2018,0,15,995,415,500,2023.7,15
5015653,6640,2796624,2/23/2018,3/23/2018,1,15,995,125,155,3049.7,20
1884080,830,2797080,2/23/2018,3/23/2018,1,15,995,230,335,3860.35,15
1298480,7383,2781912,2/20/2018,3/20/2018,1,50,2995,20,185,9297.4,30
1142907,2527,2775300,2/17/2018,3/17/2018,0,15,1495,25,85,3085.25,15
5332373,11,2806416,2/27/2018,3/2/2018,0,15,995,15,25,568.55,15
1029867,499,2830464,3/5/2018,4/5/2018,0,15,995,115,195,1309.3,20
1413653,4040,2884704,3/21/2018,4/21/2018,0,15,1495,15,20,592.2,20
1929573,1469,2907768,3/27/2018,4/27/2018,0,15,1495,0,40,947.3,15
1264720,4699,2908176,3/27/2018,4/27/2018,0,15,1495,0,35,649.5,10
2253120,3,1307544,8/14/2016,8/15/2016,0,15,495,0,0,0,0
2493307,2156,2915856,3/29/2018,4/28/2018,0,15,995,5,5,96,0
3390373,3392,1777404,3/7/2017,3/9/2017,0,15,1745,0,5,165.5,0
4602293,8775,2144232,7/26/2017,8/25/2017,1,15,745,20,45,3312.65,0
1324080,9447,1646172,1/12/2017,2/11/2017,1,15,1495,115,165,7014.45,15
1599227,8849,1054728,4/15/2016,5/14/2016,1,15,495,115,250,3943.45,5
2434133,5758,1363284,9/11/2016,10/10/2016,1,15,495,0,0,0,15
5345760,3654,2348880,10/5/2017,11/4/2017,1,15,995,0,0,0,0
6160133,4811,2629452,1/5/2018,2/4/2018,1,15,995,0,0,389.5,0
1261920,11301,1664556,1/20/2017,2/19/2017,0,15,1495,135,245,9116.4,0
2187600,5878,1425468,10/5/2016,11/4/2016,1,15,745,0,0,11.7,0
2372053,6848,1345080,9/2/2016,10/1/2016,1,15,745,0,5,37.5,5
2409200,2837,1579572,12/14/2016,1/10/2017,0,15,1745,60,95,3354.75,0
2828907,6724,1890324,4/20/2017,5/19/2017,1,15,745,0,30,845.85,10
3085813,6412,1963344,5/19/2017,6/18/2017,1,15,495,0,0,0,0
3654400,7486,2181612,8/8/2017,9/7/2017,1,15,745,10,35,1026,0
5234187,1368,2401944,10/24/2017,11/23/2017,1,15,1245,25,75,1710,0
3793280,3727,2383272,10/18/2017,11/17/2017,1,15,745,0,0,0,0
3425680,8917,1797624,3/15/2017,4/14/2017,1,15,495,0,0,80.25,0
3914693,10517,2017272,6/10/2017,7/9/2017,1,15,495,15,55,1050.8,0
4090960,1697,2235732,8/27/2017,9/19/2017,0,50,2995,220,310,1535,10
4090960,10761,2235732,8/27/2017,9/26/2017,0,50,2995,580,885,8705.1,10
7244053,5080,2821800,3/3/2018,4/2/2018,0,15,995,25,55,1792.2,5
7396960,2213,2855712,3/14/2018,4/13/2018,0,15,995,95,240,1600.75,50
2801093,6681,2289048,9/16/2017,10/15/2017,1,50,2245,140,370,5439.95,0
3357520,10790,1999872,6/3/2017,7/2/2017,1,15,745,0,40,1054.8,15
3367680,7871,1853808,4/4/2017,5/3/2017,1,15,745,0,5,61,0
2725387,5559,1684776,1/30/2017,2/28/2017,1,15,1745,60,85,3625.2,5
2741440,4226,1558716,12/3/2016,12/11/2016,0,15,495,0,0,0,0
3312773,2523,2422980,10/31/2017,11/30/2017,1,15,995,0,400,9404.85,0
4055253,158,1978848,5/25/2017,6/7/2017,0,15,745,5,15,171.25,0
6808453,7168,2705460,1/28/2018,2/5/2018,0,15,995,45,45,1605.5,0
6939147,7543,2741316,2/8/2018,2/11/2018,0,15,995,0,0,45.6,5
2120027,852,1268484,7/27/2016,8/26/2016,1,15,995,25,50,3229.2,5
3062507,3785,2110644,7/14/2017,8/13/2017,1,15,495,5,10,1796.45,0
5522507,10096,2401008,10/24/2017,11/23/2017,1,15,995,50,170,3204.6,5
6223973,2100,2873892,3/20/2018,4/19/2018,0,15,1495,20,50,2123.85,5
1382933,5408,1253124,7/20/2016,8/19/2016,1,50,995,95,165,3292.35,30
3324453,4552,1980984,5/26/2017,6/25/2017,1,15,1495,110,115,2527.05,10
3911947,479,2273208,9/10/2017,9/11/2017,0,15,745,0,0,7.6,0
5177627,3881,2579256,12/20/2017,1/19/2018,1,15,995,20,65,2400.75,0
5648720,11281,2420892,10/29/2017,11/28/2017,1,15,1495,65,135,4123,10
1824293,6653,1996788,6/2/2017,7/1/2017,1,15,745,0,0,0,0
2026267,9162,1232460,7/10/2016,7/12/2016,0,15,745,0,0,38.7,0
2035200,848,1379040,9/20/2016,9/30/2016,0,15,495,0,0,0,0
2571147,826,2444496,11/5/2017,12/4/2017,1,15,745,10,35,1480.7,0
2875040,6088,1623360,12/31/2016,1/30/2017,1,15,1495,0,0,0,0
3814933,6681,2610372,12/29/2017,1/28/2018,1,15,995,0,0,36.4,0
4378960,2300,2073324,6/30/2017,7/29/2017,1,15,495,0,10,965.2,0
1515333,1541,1512432,11/12/2016,12/11/2016,1,15,495,115,205,2599.2,5
2281333,10911,1315620,8/19/2016,9/18/2016,1,15,495,0,0,31.95,0
5559973,4522,2398212,10/22/2017,11/1/2017,0,15,995,0,15,205.2,0
1568827,5991,2673432,1/19/2018,2/18/2018,1,15,495,0,0,68.4,0
2954933,193,1983852,5/27/2017,6/26/2017,1,15,495,25,85,997.35,0
3638107,10630,2351796,10/6/2017,11/5/2017,1,15,495,5,15,863.55,0
